CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Empresarial;Valor_Mobiliario;Sigla_Classe_Acao_Preferencial;Classe_Acao_Preferencial;Codigo_Negociacao;Composicao_BDR_Unit;Mercado;Sigla_Entidade_Administradora;Entidade_Administradora;Data_Inicio_Negociacao;Data_Fim_Negociacao;Segmento;Data_Inicio_Listagem;Data_Fim_Listagem
00.000.000/0001-91;2022-01-01;4;122576;BCO BRASIL S.A.;Ações Ordinárias;;;BBAS3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2006-05-31;;Novo Mercado;1977-07-20;
00.000.208/0001-00;2022-01-01;2;121062;BRB BCO DE BRASILIA S.A.;Ações Ordinárias;;;BSLI3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2010-01-01;;Básico;1993-09-24;
00.000.208/0001-00;2022-01-01;2;121062;BRB BCO DE BRASILIA S.A.;Ações Preferenciais;;;BSLI4;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2010-01-01;;Básico;1993-09-24;
00.001.180/0001-26;2022-01-01;8;122655;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ações Ordinárias;;;ELET3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2006-09-29;;Nível 1 de Governança Corporativa;1971-09-07;
00.001.180/0001-26;2022-01-01;8;122655;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Debêntures;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2019-04-25;;Básico;2019-04-25;
00.001.180/0001-26;2022-01-01;8;122655;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ações Preferenciais;PNB;Preferencial Classe B;ELET6;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2006-09-29;;Nível 1 de Governança Corporativa;1971-09-07;
00.001.180/0001-26;2022-01-01;8;122655;CENTRAIS ELET BRAS S.A. - ELETROBRAS;Ações Preferenciais;PNA;Preferencial Classe A;ELET5;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2006-09-29;;Nível 1 de Governança Corporativa;1971-09-07;
00.070.698/0001-11;2022-01-01;6;120830;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Ordinárias;;;CEBR3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.070.698/0001-11;2022-01-01;6;120830;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Preferenciais;PNB;Preferencial Classe B;CEBR6;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.070.698/0001-11;2022-01-01;6;120830;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Ações Preferenciais;PNA;Preferencial Classe A;CEBR5;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1994-07-04;;Básico;1994-07-04;
00.080.671/0001-00;2022-01-01;1;116615;CARAMURU ALIMENTOS S.A.;Ações Ordinárias;;;;;;;;;;;;
00.185.475/0001-08;2022-01-01;1;111829;PARCOM PARTICIPACOES S.A. - EM LIQUIDAÇÃO;Ações Ordinárias;;;NÃO HÁ;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1998-06-17;2012-12-27;Básico;1998-06-17;2012-12-27
00.194.724/0001-13;2022-01-01;1;116190;AES Brasil Operações S.A.;Ações Ordinárias;;;AESO3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2021-12-03;;Básico;2021-07-23;
00.242.184/0001-04;2022-01-01;2;116200;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Ações Ordinárias;;;ARML3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2021-07-28;;Novo Mercado;2021-07-27;
00.242.184/0001-04;2022-01-01;2;116200;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Debêntures;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2021-05-06;;Básico;2021-04-28;
00.249.786/0001-85;2022-01-01;1;111826;FORPART S.A. - EM LIQUIDAÇÃO;Ações Ordinárias;;;NÃO HÁ;;Balcão Não-Organizado;;;;;;1995-02-21;2012-12-27
00.272.185/0001-93;2022-01-01;1;116275;CIMS S.A.;Ações Ordinárias;;;CMFA3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1995-03-14;;Básico;1995-03-14;
00.272.185/0001-93;2022-01-01;1;116275;CIMS S.A.;Ações Preferenciais;;;CMFA4;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1995-03-14;;Básico;1995-03-14;
00.336.701/0001-04;2022-01-01;1;114019;TELEC BRASILEIRAS S.A. TELEBRAS;Ações Ordinárias;;;TELB3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1989-03-09;;Básico;1989-02-28;
00.336.701/0001-04;2022-01-01;1;114019;TELEC BRASILEIRAS S.A. TELEBRAS;Ações Preferenciais;PNA;Preferencial Classe A;TELB4;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1989-03-09;;Básico;1989-02-28;
00.359.742/0001-08;2022-01-01;2;113890;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Ações Ordinárias;;;ATOM3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;1996-02-28;;Básico;1996-02-28;
00.389.481/0001-79;2022-01-01;2;120551;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Debêntures;;;;;Balcão Organizado;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2021-05-18;2021-05-28;Básico;2021-05-18;2021-05-28
00.416.968/0001-01;2022-01-01;1;112152;BANCO INTER S.A.;Ações Ordinárias;;;BIDI3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2019-07-19;;Nível 2 de Governança Corporativa;2018-04-30;
00.416.968/0001-01;2022-01-01;1;112152;BANCO INTER S.A.;Ações Preferenciais;PNA;Preferencial Classe A;BIDI4;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2018-05-11;;Nível 2 de Governança Corporativa;2018-04-30;
00.416.968/0001-01;2022-01-01;1;112152;BANCO INTER S.A.;Units;;;BIDI11;1 PN + 3 recibos de subscrição;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2018-04-30;2018-05-10;Nível 1 de Governança Corporativa;2018-04-30;
00.416.968/0001-01;2022-01-01;1;112152;BANCO INTER S.A.;Units;;;BIDI11;1 ON + 2 PNs;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2019-07-19;;Nível 2 de Governança Corporativa;2018-04-30;
00.545.378/0001-70;2022-01-01;2;128996;SERRA AZUL WATER PARK SA;Ações Ordinárias;;;00000;;Balcão Não-Organizado;;;;;;2010-04-29;2010-04-30
00.622.416/0001-41;2022-01-01;1;114731;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Ações Ordinárias;;;STKF3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2011-10-03;2018-09-27;Bovespa Mais;2011-09-19;
00.622.416/0001-41;2022-01-01;1;114731;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Ações Ordinárias;;;STKF3;;Bolsa;B3;B3 S.A. - Brasil, Bolsa, Balcão.;2018-09-28;;Básico;2011-09-19;
00.644.907/0001-93;2022-01-01;1;112919;INVESTCO S.A.;Ações Preferenciais;PNC;Preferencial Classe C;00;;Balcão Não-Organizado;;;;;;2000-02-04;
